Fecha Solicitud,Fecha Entrega,Año,Semana,Status,Proveedor,Tipo Producto,Desc Producto,Presentacion,Cant. Comprada,Cant. Prom,Cantidad Total,Costo Total,Vr Unitario,Precio de Venta,Margen %
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Manzana PET,2.5 L,8.0,3.0,11,30000.0,3750.0,4500.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Pepsi PET,2.5 L,8.0,,8,30000.0,3750.0,4500.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Colombiana PET,1.5 L,6.0,,6,17499.96,2916.66,3500.0,0.20000274286341235
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Manzana PET,1.5 L,6.0,,6,17499.96,2916.66,3500.0,0.20000274286341235
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Agua,Agua Cristal,600 ml,12.0,,12,11075.0,922.9166666666666,1200.0,0.3002257336343115
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Colombiana PET,3.125 L,3.0,,3,16250.0,5416.666666666667,6000.0,0.10769230769230753
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Pepsi PET,3.125 L,3.0,,3,16250.0,5416.666666666667,6000.0,0.10769230769230753
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Agua,Agua Cristal Con Gas,600 ml,12.0,,12,15050.0,1254.1666666666667,1500.0,0.1960132890365447
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Bebidas,Mr Tea Limon,500 ml,6.0,,6,10000.0,1666.6666666666667,2000.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Bebidas,Mr Tea Durazno,500 ml,6.0,,6,10000.0,1666.6666666666667,2000.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Jugos,Jugo Hit Mora,500 ml,6.0,,6,11000.0,1833.3333333333333,2200.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Jugos,Jugo Hit Mango,500 ml,,5.0,5,0.0,0.0,2200.0,0.0
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Jugos,Jugo Hit Naranja Piña,500 ml,6.0,,6,11000.0,1833.3333333333333,2200.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Jugos,Jugo Hit Frutas Tropicales,500 ml,6.0,5.0,11,11000.0,1000.0,2200.0,1.2000000000000002
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Pepsi PET,400 ml,7.0,,7,9917.0,1416.7142857142858,1800.0,0.2705455278814157
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Colombiana PET,400 ml,8.0,,8,11333.0,1416.625,1800.0,0.2706256066354893
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Manzana PET,250 ml,6.0,,6,6000.0,1000.0,1300.0,0.30000000000000004
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Gaseosa,Colombiana PET,250 ml,6.0,,6,6000.0,1000.0,1300.0,0.30000000000000004
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Jugos,Jugo Hit Lulo,500 ml,6.0,,6,11000.0,1833.3333333333333,2200.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Bebidas,Bebida Energizante Speed,250 ml,12.0,,12,12000.0,1000.0,1200.0,0.19999999999999996
2022-06-24,2022-06-25,2022,1,Entregado y Pagado,Postobon,Bebidas,Bebida Energizante Speed,400 ml,15.0,,15,18750.0,1250.0,1500.0,0.19999999999999996
2022-07-02,2022-07-02,2022,1,Entregado y Pagado,Pricesmart,Gaseosa,Coca Cola,3 L,4.0,,4,19900.0,4975.0,7000.0,0.4070351758793971
2022-07-02,2022-07-02,2022,1,Entregado y Pagado,Pricesmart,Gaseosa,Sprite,3L,1.0,,1,4975.0,4975.0,6800.0,0.3668341708542713
2022-07-02,2022-07-02,2022,1,Entregado y Pagado,Pricesmart,Gaseosa,Premio,3L,1.0,,1,4975.0,4975.0,6800.0,0.3668341708542713
2022-07-02,2022-07-02,2022,1,Entregado y Pagado,Pricesmart,Gaseosa,Quatro,3L,2.0,,2,9944.0,4972.0,6800.0,0.3676588897827835
2022-07-08,2022-07-08,2022,1,Entregado y Pagado,Pricesmart,Gaseosa,Coca Cola,3 L,4.0,,4,21900.0,5475.0,7000.0,0.27853881278538806
2022-07-08,2022-07-08,2022,1,Entregado y Pagado,Pricesmart,Snack,Rosquillas Reina,,24.0,,24,17900.0,745.8333333333334,1000.0,0.34078212290502785
2022-06-26,2022-06-26,2022,1,Entregado y Pagado,Rosario Vijes,Otros Dulces,Dulce de Brevas,,10.0,,10,80000.0,8000.0,12000.0,0.5
2022-07-08,2022-07-09,2022,1,Entregado y Pagado,Postobon,Agua,Agua Cristal Con Gas,600 ml,24.0,,24,30100.0,1254.1666666666667,1500.0,0.1960132890365447
2022-07-08,2022-07-09,2022,1,Entregado y Pagado,Postobon,Gaseosa,Manzana PET,400 ml,15.0,,15,21250.0,1416.6666666666667,1800.0,0.2705882352941176
2022-07-08,2022-07-09,2022,1,Entregado y Pagado,Postobon,Gaseosa,Naranja PET,2 L,8.0,,8,23350.0,2918.75,3500.0,0.1991434689507494
