Fecha Venta,Año,Semana Venta,Desc Producto,Presentacion,Tipo Producto,Cant. Vendida,Precio de Venta,Venta Total
2022-06-26,2022,1,Pepsi PET,3.125 L,Gaseosa,1,6000.0,6000
2022-06-26,2022,1,Agua Cristal Con Gas,600 ml,Agua,3,1500.0,4500
2022-07-03,2022,1,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-03,2022,1,Manzana PET,2.5 L,Gaseosa,1,5000.0,5000
2022-07-03,2022,1,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-05,2022,1,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-05,2022,1,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-05,2022,1,Colombiana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-06,2022,1,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-06,2022,1,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-06,2022,1,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-06,2022,1,Bebida Energizante Speed,400 ml,Bebidas,2,1500.0,3000
2022-07-06,2022,1,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-07,2022,1,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-07,2022,1,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-07,2022,1,Manzana PET,250 ml,Gaseosa,1,1300.0,1300
2022-07-07,2022,1,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-08,2022,1,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-08,2022,1,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-08,2022,1,Agua Cristal,600 ml,Agua,1,1300.0,1300
2022-07-08,2022,1,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-08,2022,1,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-08,2022,1,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-08,2022,1,Pepsi PET,400 ml,Gaseosa,2,1800.0,3600
2022-07-08,2022,1,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-08,2022,1,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-09,2022,1,Agua Cristal,600 ml,Agua,3,1200.0,3600
2022-07-09,2022,1,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-09,2022,1,Rosquillas Reina,,Snack,7,1000.0,7000
2022-07-09,2022,1,Mr Tea Durazno,500 ml,Bebidas,1,2000.0,2000
2022-07-09,2022,1,Colombiana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-09,2022,1,Colombiana PET,3.125 L,Gaseosa,1,6000.0,6000
2022-07-09,2022,1,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-09,2022,1,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-09,2022,1,Bebida Energizante Speed,400 ml,Bebidas,2,1500.0,3000
2022-07-09,2022,1,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-09,2022,1,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-09,2022,1,Colombiana PET,400 ml,Gaseosa,2,1800.0,3600
2022-07-09,2022,1,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-09,2022,1,Jugo Hit Naranja Piña,500 ml,Jugos,1,2200.0,2200
2022-07-10,2022,1,Bebida Energizante Speed,250 ml,Bebidas,2,1000.0,2000
2022-07-10,2022,1,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-10,2022,1,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-10,2022,1,Galletas Festival Surtidas,,Galletas,3,700.0,2100
2022-07-10,2022,1,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-10,2022,1,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-11,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-11,2022,2,Bebida Energizante Speed,400 ml,Bebidas,1,1500.0,1500
2022-07-11,2022,2,Papas Margaritas Surtidas,,Snack,4,1600.0,6400
2022-07-11,2022,2,Pony Malta PET,330 ml,Bebidas,1,1800.0,1800
2022-07-11,2022,2,Dulce de Brevas,,Otros Dulces,2,12000.0,24000
2022-07-11,2022,2,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-11,2022,2,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-11,2022,2,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-12,2022,2,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-12,2022,2,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-12,2022,2,Colombiana PET,3.125 L,Gaseosa,1,6000.0,6000
2022-07-12,2022,2,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-12,2022,2,Mr Tea Durazno,500 ml,Bebidas,1,2000.0,2000
2022-07-12,2022,2,Papas Margaritas Surtidas,,Snack,6,1600.0,9600
2022-07-12,2022,2,Manzana PET,250 ml,Gaseosa,1,1300.0,1300
2022-07-12,2022,2,Colombiana PET,250 ml,Gaseosa,1,1300.0,1300
2022-07-12,2022,2,Bebida Energizante Speed,400 ml,Bebidas,1,1500.0,1500
2022-07-12,2022,2,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-12,2022,2,COSTEÑA BACANA LATA 330CCX6 - 14709,330 ml,Cerveza,2,2000.0,4000
